retailsales
130683
131244
142488
147175
152420
151849
152586
152476
148158
155987
154824
191347
137020
134462
153025
158615
163519
162964
164590
163989
159298
163992
169980
206174
145276
146332
173562
170795
175527
178509
173198
182445
175128
178642
184272
221549
158004
155156
181910
176635
190269
191609
182909
193370
182521
184276
193405
227552
167372
173941
191851
191886
205797
196842
197140
204270
189424
201927
203621
237478
181073
178428
203750
199219
211516
205491
208856
211952
201415
210145
207533
249389
187445
183767
207973
212262
221155
220867
217687
216605
208915
220499
218969
265618
196810
199451
230230
227109
237462
236830
236992
240478
230665
233193
240857
293013
213709
227087
253717
239051
257581
255066
244445
257487
243624
245167
252145
294197
226791
223971
253439
249062
268658
260315
251504
266460
236210
265188
262004
298666
230546
228084
257133
257357
271682
260385
266795
277716
246350
259945
263738
308821
242271
233478
264532
265990
281482
271242
279323
285212
265331
273781
272396
327693
252818
253689
287944
284325
296253
289664
294875
294133
282974
287468
294278
354627
263469
265320
306384
302054
311292
317375
316887
321409
300439
302213
311715
370726
286152
282417
326153
316526
337393
330844
325905
339155
310775
312976
323089
380188
295284
290065
335917
321981
353201
338189
333815
349191
317145
331073
341848
387473
307576
308171
334416
331002
357277
339791
344158
342443
313308
311422
299238
346513
273998
264465
290068
292041
307481
306050
308847
314505
288071
300360
303850
362735
279044
275566
321305
316940
324820
319183
320915
322319
307638
315059
328381
386878
298626
299920
345052
339014
348979
346620
341381
352224
333642
337067
351517
408910
315540
331470
368502
349194
373129
356083
351520
372986
342582
355823
368593
416807
333789
332491
374155
362984
389700
369274
376928
388112
352560
369638
378498
430321
340122
337129
383241
383688
408177
385387
394591
401280
374354
388322
391551
451598
350067
341459
392848
387352
409376
397752
406393
404729
382020
392545
396490
464962
351890
363687
405310
395119
413405
410397
406139
416795
394442
397354
414458
482778
368658
365236
422916
407457
435053
423705
417371
432404
413093
418517
443513
498971
390689
381932
446512
421678
465377
445793
443977
458781
420602
444271
463403
500260
402128
387672
451740
446483
479072
451733
466814
479296
435427
460267
474437
529345
422359
418272
431702
